id,species,video,treatment,feed,before_after
MOO18_FU01,Fusigobius_neophytus,vfg1,vfg,43,before
MOO18_FU02,Fusigobius_neophytus,vfg1,vfg,29,before
MOO18_FU03,Fusigobius_neophytus,vfg1,vfg,31,before
MOO18_FU04,Fusigobius_neophytus,vfg2,vfg,26,before
MOO18_FU05,Fusigobius_neophytus,vfg2,vfg,11,before
MOO18_FU06,Fusigobius_neophytus,vfg2,vfg,12,before
MOO18_FU07,Fusigobius_neophytus,vfg3,vfg,3,before
MOO18_FU08,Fusigobius_neophytus,vfg3,vfg,2,before
MOO18_FU09,Fusigobius_neophytus,vfg3,vfg,0,before
MOO18_FU10,Fusigobius_neophytus,vff1,vff,0,before
MOO18_FU11,Fusigobius_neophytus,vff1,vff,0,before
MOO18_FU12,Fusigobius_neophytus,vff1,vff,1,before
MOO18_FU13,Fusigobius_neophytus,vff2,vff,0,before
MOO18_FU14,Fusigobius_neophytus,vff2,vff,1,before
MOO18_FU15,Fusigobius_neophytus,vff2,vff,4,before
MOO18_FU16,Fusigobius_neophytus,vff3,vff,1,before
MOO18_FU17,Fusigobius_neophytus,vff3,vff,0,before
MOO18_FU18,Fusigobius_neophytus,vff3,vff,2,before
MOO18_GN01,Gnatholepis_cauerensis,vfg1,vfg,204,before
MOO18_GN02,Gnatholepis_cauerensis,vfg1,vfg,102,before
MOO18_GN03,Gnatholepis_cauerensis,vfg1,vfg,389,before
MOO18_GN04,Gnatholepis_cauerensis,vfg2,vfg,262,before
MOO18_GN05,Gnatholepis_cauerensis,vfg2,vfg,283,before
MOO18_GN06,Gnatholepis_cauerensis,vfg2,vfg,420,before
MOO18_GN07,Gnatholepis_cauerensis,vfg3,vfg,458,before
MOO18_GN08,Gnatholepis_cauerensis,vfg3,vfg,295,before
MOO18_GN09,Gnatholepis_cauerensis,vfg3,vfg,384,before
MOO18_GN10,Gnatholepis_cauerensis,vgg1,vgg,344,before
MOO18_GN11,Gnatholepis_cauerensis,vgg1,vgg,195,before
MOO18_GN12,Gnatholepis_cauerensis,vgg1,vgg,359,before
MOO18_GN13,Gnatholepis_cauerensis,vgg2,vgg,284,before
MOO18_GN14,Gnatholepis_cauerensis,vgg2,vgg,22,before
MOO18_GN15,Gnatholepis_cauerensis,vgg2,vgg,267,before
MOO18_GN16,Gnatholepis_cauerensis,vgg3,vgg,27,before
MOO18_GN17,Gnatholepis_cauerensis,vgg3,vgg,29,before
MOO18_GN18,Gnatholepis_cauerensis,vgg3,vgg,28,before
MOO18_FU01,Fusigobius_neophytus,vfg1,vfg,25,after
MOO18_FU02,Fusigobius_neophytus,vfg1,vfg,42,after
MOO18_FU03,Fusigobius_neophytus,vfg1,vfg,6,after
MOO18_FU04,Fusigobius_neophytus,vfg2,vfg,16,after
MOO18_FU05,Fusigobius_neophytus,vfg2,vfg,16,after
MOO18_FU06,Fusigobius_neophytus,vfg2,vfg,23,after
MOO18_FU07,Fusigobius_neophytus,vfg3,vfg,50,after
MOO18_FU08,Fusigobius_neophytus,vfg3,vfg,17,after
MOO18_FU09,Fusigobius_neophytus,vfg3,vfg,9,after
MOO18_FU10,Fusigobius_neophytus,vff1,vff,64,after
MOO18_FU11,Fusigobius_neophytus,vff1,vff,12,after
MOO18_FU12,Fusigobius_neophytus,vff1,vff,24,after
MOO18_FU13,Fusigobius_neophytus,vff2,vff,89,after
MOO18_FU14,Fusigobius_neophytus,vff2,vff,47,after
MOO18_FU15,Fusigobius_neophytus,vff2,vff,53,after
MOO18_FU16,Fusigobius_neophytus,vff3,vff,71,after
MOO18_FU17,Fusigobius_neophytus,vff3,vff,63,after
MOO18_FU18,Fusigobius_neophytus,vff3,vff,40,after
MOO18_GN01,Gnatholepis_cauerensis,vfg1,vfg,338,after
MOO18_GN02,Gnatholepis_cauerensis,vfg1,vfg,190,after
MOO18_GN03,Gnatholepis_cauerensis,vfg1,vfg,365,after
MOO18_GN04,Gnatholepis_cauerensis,vfg2,vfg,399,after
MOO18_GN05,Gnatholepis_cauerensis,vfg2,vfg,439,after
MOO18_GN06,Gnatholepis_cauerensis,vfg2,vfg,257,after
MOO18_GN07,Gnatholepis_cauerensis,vfg3,vfg,309,after
MOO18_GN08,Gnatholepis_cauerensis,vfg3,vfg,410,after
MOO18_GN09,Gnatholepis_cauerensis,vfg3,vfg,627,after
MOO18_GN10,Gnatholepis_cauerensis,vgg1,vgg,362,after
MOO18_GN11,Gnatholepis_cauerensis,vgg1,vgg,64,after
MOO18_GN12,Gnatholepis_cauerensis,vgg1,vgg,308,after
MOO18_GN13,Gnatholepis_cauerensis,vgg2,vgg,285,after
MOO18_GN14,Gnatholepis_cauerensis,vgg2,vgg,152,after
MOO18_GN15,Gnatholepis_cauerensis,vgg2,vgg,138,after
MOO18_GN16,Gnatholepis_cauerensis,vgg3,vgg,151,after
MOO18_GN17,Gnatholepis_cauerensis,vgg3,vgg,154,after
MOO18_GN18,Gnatholepis_cauerensis,vgg3,vgg,101,after
