ID,Species,GIT_ratio,SL,GIT
FU_gut_01,Fusigobius neophytus,0.43,43.2,28.4
FU_gut_02,Fusigobius neophytus,0.43,29.9,28.4
FU_gut_03,Fusigobius neophytus,0.51,30.1,10.2
FU_gut_04,Fusigobius neophytus,0.47,33.2,14.3
FU_gut_05,Fusigobius neophytus,0.34,39.1,12
FU_gut_06,Fusigobius neophytus,0.75,39.4,17.8
FU_gut_07,Fusigobius neophytus,0.65,43.1,19.4
FU_gut_08,Fusigobius neophytus,0.48,35.5,25.9
FU_gut_09,Fusigobius neophytus,0.68,31.8,15.8
FU_gut_10,Fusigobius neophytus,0.86,26.1,21.9
GN_gut_01,Gnatholepis caurensis,1,36.9,36.7
GN_gut_02,Gnatholepis caurensis,1.03,40.4,49.2
GN_gut_03,Gnatholepis caurensis,0.98,29.9,27.7
GN_gut_04,Gnatholepis caurensis,0.99,33.8,36.2
GN_gut_05,Gnatholepis caurensis,1.04,36.6,40.4
GN_gut_06,Gnatholepis caurensis,0.91,30.5,31.4
GN_gut_07,Gnatholepis caurensis,1.12,36.4,34.5
GN_gut_08,Gnatholepis caurensis,1.08,25.3,24.8
GN_gut_09,Gnatholepis caurensis,1.18,32.2,27.5
GN_gut_10,Gnatholepis caurensis,1.13,33.2,42.7
GN_gut_11,Gnatholepis caurensis,1.27,38.4,46.3
GN_gut_12,Gnatholepis caurensis,0.92,39.3,49.5
