fishID,Date,Chamber,SMR,sdSMR,MaxMR,MinMR,FirstMR,MeanTemp...C.,Weight..kg.,Chamber.Volume..L.,BlankCorrection,Species,TL,SL,W,Close_Time,Flush_Time,Vol_Ch,Nb_Ch,Catch_Date,Run_Date,Close_Time_Blank,Flush_Time_Blank,Note,Capture,Firesting,Data,DataBlank,Vol_Ch_Bl,Nb_Ch_Bl,Start_Time,Start_Time_Bl,Chambersize
MOO18-R122,7/3/18 10:37,1,0.173569384,0.021190103,0.48609626,0.135459495,0.449021926,29.29481517,0.001214,0.03329,YES,Fusigobius neophytus,49.8,39,0.001214,420,180,0.03329,1,NA,3/7/18,420,180,,Lagon,FS1,FS1_03-07-18.txt,FS1blank_03-07-18.txt,0.03857,8,10:40:01,9:28:01,S
MOO18-R123,7/3/18 10:37,2,0.144126236,0.002139374,0.361117422,0.139841232,0.319662458,29.30172753,0.001171,0.03404,YES,Fusigobius neophytus,49.4,39,0.001171,420,180,0.03404,2,NA,3/7/18,420,180,,Lagon,FS1,FS1_03-07-18.txt,FS1blank_03-07-18.txt,0.03857,8,10:40:01,9:28:01,S
MOO18-R124,7/3/18 10:37,3,0.136239199,0.002045289,0.372577236,0.132846579,0.318700074,29.30840567,0.001166,0.0348,YES,Fusigobius neophytus,49.9,38.8,0.001166,420,180,0.0348,3,NA,3/7/18,420,180,,Lagon,FS1,FS1_03-07-18.txt,FS1blank_03-07-18.txt,0.03857,8,10:40:01,9:28:01,S
MOO18-R125,7/3/18 10:37,4,0.160296454,0.001951703,0.318753903,0.157544527,0.403490964,29.31477585,0.001206,0.03555,YES,Fusigobius neophytus,50,39.4,0.001206,420,180,0.03555,4,NA,3/7/18,420,180,,Lagon,FS1,FS1_03-07-18.txt,FS1blank_03-07-18.txt,0.03857,8,10:40:01,9:28:01,S
MOO18-R126,7/3/18 10:37,5,0.175931184,0.000440063,0.381271206,0.175064098,0.511730659,29.27128165,0.001697,0.03631,YES,Fusigobius neophytus,57.1,44,0.001697,420,180,0.03631,5,NA,3/7/18,420,180,,Lagon,FS2,FS2_03-07-18.txt,FS2blank_03-07-18.txt,0.03857,8,10:40:01,9:28:01,S
MOO18-R127,7/3/18 10:37,6,0.298050216,0.004619984,0.834664011,0.286780559,0.730947048,29.27714223,0.001999,0.03706,YES,Gnatholepis cauerensis,60,47.6,0.001999,420,180,0.03706,6,NA,3/7/18,420,180,,Lagon,FS2,FS2_03-07-18.txt,FS2blank_03-07-18.txt,0.03857,8,10:40:01,9:28:01,S
MOO18-R128,7/3/18 10:37,7,0.160184352,0.005516374,0.462833585,0.152259014,0.497291793,29.28279832,0.000927,0.03782,YES,Gnatholepis cauerensis,46.2,36.9,0.000927,420,180,0.03782,7,NA,3/7/18,420,180,,Lagon,FS2,FS2_03-07-18.txt,FS2blank_03-07-18.txt,0.03857,8,10:40:01,9:28:01,S
MOO18-R129,7/4/18 11:53,1,0.107160807,0.002822379,0.37808926,0.102285641,0.368897928,28.70322965,0.000526,0.006659,YES,Gnatholepis cauerensis,39,31,0.000526,120,180,0.006659,1,NA,4/7/18,420,180,,Lagon,FS1,FS1_04-07-18.txt,FS1blank_04-07-18.txt,0.006659,8,11:56:01,9:28:01,XS
MOO18-R130,7/4/18 11:53,2,0.075004168,0.001336971,0.347022281,0.072760007,0.350997644,28.70076992,0.000465,0.006659,YES,Gnatholepis cauerensis,37.1,29.9,0.000465,120,180,0.006659,2,NA,4/7/18,420,180,,Lagon,FS1,FS1_04-07-18.txt,FS1blank_04-07-18.txt,0.006659,8,11:56:01,9:28:01,XS
MOO18-R131,7/4/18 11:53,3,0.148393725,0.00673954,0.445896821,0.132752003,0.353064159,28.69829834,0.000817,0.006659,YES,Gnatholepis cauerensis,44,34.9,0.000817,120,180,0.006659,3,NA,4/7/18,420,180,,Lagon,FS1,FS1_04-07-18.txt,FS1blank_04-07-18.txt,0.006659,8,11:56:01,9:28:01,XS
MOO18-R132,7/4/18 11:53,4,0.109306942,0.001191824,0.252195937,0.107123605,0.246718428,28.69601952,0.000803,0.006659,YES,Fusigobius neophytus,43,36,0.000803,120,180,0.006659,4,NA,4/7/18,420,180,,Lagon,FS1,FS1_04-07-18.txt,FS1blank_04-07-18.txt,0.006659,8,11:56:01,9:28:01,XS
MOO18-R133,7/4/18 11:53,5,0.101060897,0.001837909,0.239838532,0.098164675,0.263034443,28.63487898,0.000687,0.006659,YES,Fusigobius neophytus,42.5,33.1,0.000687,120,180,0.006659,5,NA,4/7/18,420,180,,Lagon,FS2,FS2_04-07-18.txt,FS2blank_04-07-18.txt,0.006659,8,11:56:01,9:28:01,XS
